,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,text,twitter_text,text_Description14,twitter_text_Description14,text_doc_index,text_sent_index,text_neg,text_neu,text_pos,text_compound,text_sentence,twitter_text_doc_index,twitter_text_sent_index,twitter_text_neg,twitter_text_neu,twitter_text_pos,twitter_text_compound,twitter_text_sentence
11,2017-01-17,RELIANCE,EQ,1076.25,1065.0,1068.0,1038.5,1040.0,1041.25,1049.23,8968290,"RELIANCE : Jio said pace of its subscriber additions would have been higher if rivals AIRTEL, Vodafone and IDEA had released adequate points of interconnection, which would have allowed more calls from the carrier's 4G network to go through.,Reliance has posted a net profit of Rs. 7506 crore vs Rs. 7245 crore YoY. Total Income has increased  from Rs. 74953 crore to to Rs. 86925 on YoY basis. GRM at USD10.80/bbl",,reliance jio said pace of its subscriber additions would have been higher if rivals airtel vodafone and idea had released adequate points of interconnection which would have allowed more calls from the carrier s 4g network to go through. reliance has posted a net profit of rs. 7506 crore vs rs. 7245 crore yoy. total income has increased from rs. 74953 crore to to rs. 86925 on yoy basis. grm at usd10.80 bbl,,2.0,28.0,0.0,7.338,0.6619999999999999,0.9988000000000001,reliance jio said pace of its subscriber additions would have been higher if rivals airtel vodafone and idea had released adequate points of interconnection which would have allowed more calls from the carrier s 4g network to go through.reliance has posted a net profit of rs.7506 crore vs rs.7245 crore yoy.total income has increased from rs.74953 crore to to rs.86925 on yoy basis.grm at usd10.80 bbl,,,,,,,
12,2017-01-18,RELIANCE,EQ,1041.25,1042.6,1048.0,1028.75,1031.95,1032.55,1036.48,3627071,Reliance Ind: Reliance-Sibur to set up South Asia's first Halogenated Butyl rubber unit in Jamnagar.,,reliance ind reliance sibur to set up south asia s first halogenated butyl rubber unit in jamnagar.,,3.0,0.0,0.0,1.0,0.0,0.0,reliance ind reliance sibur to set up south asia s first halogenated butyl rubber unit in jamnagar.,,,,,,,
13,2017-01-19,RELIANCE,EQ,1032.55,1035.15,1045.3,1031.0,1032.45,1033.7,1037.12,3493728,RELIANCE INDUSTRIES: Reliance Jio Infocomm is planning to foray into automobile telematics with the launch of a device that will control vehicle's movement and alert owner about fuel and battery through a mobile app.,,reliance industries reliance jio infocomm is planning to foray into automobile telematics with the launch of a device that will control vehicle s movement and alert owner about fuel and battery through a mobile app.,,4.0,0.0,0.0,0.939,0.061,0.296,reliance industries reliance jio infocomm is planning to foray into automobile telematics with the launch of a device that will control vehicle s movement and alert owner about fuel and battery through a mobile app.,,,,,,,
14,2017-01-20,RELIANCE,EQ,1033.7,1033.95,1037.45,1023.9,1025.7,1025.8,1029.42,2008082,"Reliance: Has written down 395.70 bln rupees in value of its oil and gas assets including the KG basin D6 block and US shale gas projects, in view of change in accounting policy. ",,reliance has written down 395.70 bln rupees in value of its oil and gas assets including the kg basin d6 block and us shale gas projects in view of change in accounting policy. ,,5.0,0.0,0.078,0.811,0.111,0.0516,reliance has written down 395.70 bln rupees in value of its oil and gas assets including the kg basin d6 block and us shale gas projects in view of change in accounting policy.,,,,,,,
15,2017-01-23,RELIANCE,EQ,1025.8,1021.8,1031.0,1012.8,1018.4,1015.9,1019.37,3133533,RELIANCE INDUSTRIES: Is in talks to raise $2.25 bln from abroad to replace its high-costing borrowings and create a chest for expansion.,,reliance industries is in talks to raise 2.25 bln from abroad to replace its high costing borrowings and create a chest for expansion.,,6.0,0.0,0.0,0.913,0.087,0.2732,reliance industries is in talks to raise 2.25 bln from abroad to replace its high costing borrowings and create a chest for expansion.,,,,,,,
16,2017-01-24,RELIANCE,EQ,1015.9,1017.0,1028.8,1017.0,1027.9,1027.3,1024.12,2153091,,,,,,,,,,,,,,,,,,
17,2017-01-25,RELIANCE,EQ,1027.3,1032.0,1032.7,1016.15,1018.05,1017.3,1020.11,5453230,,,,,,,,,,,,,,,,,,
18,2017-01-27,RELIANCE,EQ,1017.3,1020.25,1028.9,1019.0,1028.15,1025.1,1024.42,4997239,,"#Idea set to launch slew of apps to take on #Reliance Jio
https://t.co/xHBYOqY6ja https://t.co/AVjKhSgNFg",, idea set to launch slew of apps to take on reliance jio ,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0, idea set to launch slew of apps to take on reliance jio
19,2017-01-30,RELIANCE,EQ,1025.1,1024.95,1046.45,1024.8,1044.95,1044.8,1038.36,3583756,,,,,,,,,,,,,,,,,,
20,2017-01-31,RELIANCE,EQ,1044.8,1046.85,1053.8,1040.3,1045.0,1045.2,1046.18,3457365,"RELIANCE INDUSTRIES: Vodafone India has moved the Delhi High Court alleging TRAI failed to prohibit ""blatant violation"" of tariff orders, directions and regulations by the company's arm Reliance Jio Infocomm.",,reliance industries vodafone india has moved the delhi high court alleging trai failed to prohibit blatant violation of tariff orders directions and regulations by the company s arm reliance jio infocomm.,,7.0,0.0,0.183,0.817,0.0,-0.7579,reliance industries vodafone india has moved the delhi high court alleging trai failed to prohibit blatant violation of tariff orders directions and regulations by the company s arm reliance jio infocomm.,,,,,,,
21,2017-02-01,RELIANCE,EQ,1045.2,1046.1,1050.9,1035.2,1050.0,1049.65,1044.86,2585798,,,,,,,,,,,,,,,,,,
22,2017-02-02,RELIANCE,EQ,1049.65,1050.0,1050.8,1038.25,1045.55,1043.5,1042.22,2079908,,,,,,,,,,,,,,,,,,
23,2017-02-03,RELIANCE,EQ,1043.5,1046.0,1050.45,1030.1,1033.45,1033.65,1038.23,3021751,,#AnilAmbani-led #Reliance group of stocks surge up to 19% https://t.co/Uw7S93pIn9 #Sensex #Nifty https://t.co/pQoz2gLOYa,, anilambani led reliance group of stocks surge up to 19 sensex nifty ,,,,,,,,1.0,0.0,0.0,0.803,0.197,0.4019, anilambani led reliance group of stocks surge up to 19 sensex nifty
24,2017-02-06,RELIANCE,EQ,1033.65,1037.0,1044.9,1032.05,1040.7,1041.65,1038.21,2283982,,,,,,,,,,,,,,,,,,
25,2017-02-07,RELIANCE,EQ,1041.65,1042.0,1042.35,1027.2,1031.95,1030.9,1031.93,2264245,,,,,,,,,,,,,,,,,,
26,2017-02-08,RELIANCE,EQ,1030.9,1030.9,1038.25,1022.0,1022.7,1025.15,1027.7,3710094, Reliance Industries: BP sees new output in KG-D6 after 2020,#ITC pips HDFC Bank and #Reliance Ind to claim No. 2 spot in market-cap https://t.co/t3KdcMpUls https://t.co/VMsLopGcjO, reliance industries bp sees new output in kg d6 after 2020, itc pips hdfc bank and reliance ind to claim no. 2 spot in market cap ,8.0,0.0,0.0,1.0,0.0,0.0, reliance industries bp sees new output in kg d6 after 2020,2.0,1.0,0.0,2.0,0.0,0.0, itc pips hdfc bank and reliance ind to claim no.2 spot in market cap
27,2017-02-09,RELIANCE,EQ,1025.15,1028.0,1034.0,1026.8,1032.45,1032.75,1030.58,2254216,,,,,,,,,,,,,,,,,,
28,2017-02-10,RELIANCE,EQ,1032.75,1035.0,1035.55,1025.55,1030.0,1030.15,1030.89,2861531,,,,,,,,,,,,,,,,,,
29,2017-02-13,RELIANCE,EQ,1030.15,1033.0,1034.0,1022.0,1030.0,1029.85,1026.56,1957988,,,,,,,,,,,,,,,,,,
30,2017-02-14,RELIANCE,EQ,1029.85,1035.0,1052.9,1029.9,1048.1,1049.8,1047.4,4170414,RELIANCE INDUSTRIES: Associate Co Reliance Gas and Transportation Infrastructure's net worth has eroded by a massive Rs. 79.66 bln as on Sep 2016 as low gas supply from the Krishna-Godavari basin project affected the Co's financials.,,reliance industries associate co reliance gas and transportation infrastructure s net worth has eroded by a massive rs. 79.66 bln as on sep 2016 as low gas supply from the krishna godavari basin project affected the co s financials.,,9.0,1.0,0.163,1.736,0.101,-0.17559999999999998,reliance industries associate co reliance gas and transportation infrastructure s net worth has eroded by a massive rs.79.66 bln as on sep 2016 as low gas supply from the krishna godavari basin project affected the co s financials.,,,,,,,
31,2017-02-15,RELIANCE,EQ,1049.8,1052.9,1057.5,1045.25,1050.35,1051.3,1052.94,3482845,,,,,,,,,,,,,,,,,,
32,2017-02-16,RELIANCE,EQ,1051.3,1052.55,1069.45,1052.55,1065.95,1067.5,1062.56,4492847,,,,,,,,,,,,,,,,,,
33,2017-02-17,RELIANCE,EQ,1067.5,1066.5,1078.2,1058.45,1070.7,1075.5,1070.57,3393856,RELIANCE INDUSTRIES: Subsidiary Reliance Retail has shut more than 60 loss-making Reliance Fresh stores in the last one year mainly in the value (food and grocery) retailing. ,,reliance industries subsidiary reliance retail has shut more than 60 loss making reliance fresh stores in the last one year mainly in the value food and grocery retailing. ,,10.0,0.0,0.079,0.775,0.146,0.2815,reliance industries subsidiary reliance retail has shut more than 60 loss making reliance fresh stores in the last one year mainly in the value food and grocery retailing.,,,,,,,
34,2017-02-20,RELIANCE,EQ,1075.5,1070.55,1078.85,1066.5,1075.0,1075.4,1074.6,2663127,,,,,,,,,,,,,,,,,,
35,2017-02-21,RELIANCE,EQ,1075.4,1075.2,1090.95,1073.05,1088.1,1088.2,1084.82,3242790,,,,,,,,,,,,,,,,,,
36,2017-02-22,RELIANCE,EQ,1088.2,1093.0,1211.65,1092.0,1209.8,1207.5,1177.82,29103926,,,,,,,,,,,,,,,,,,
37,2017-02-23,RELIANCE,EQ,1207.5,1213.6,1222.0,1179.35,1186.8,1182.75,1196.34,14229234,,,,,,,,,,,,,,,,,,
38,2017-02-27,RELIANCE,EQ,1182.75,1190.5,1256.8,1190.35,1237.55,1238.9,1241.99,19068911,,"#Reliance Industries hits over 8-year high; m-cap crosses Rs 4 lakh crore https://t.co/3Y8anjOkeM
#RIL #markets https://t.co/2Xz3rPnXti,#Reliance Industries hits over 8-year high; m-cap crosses Rs 4 lakh crore https://t.co/3Y8anjwJne
#markets https://t.co/wUBEqIa6p5,#Reliance shares continue to rise on @reliancejio plans  https://t.co/s4hyGn4QtL https://t.co/mOOgoghUCa",, reliance industries hits over 8 year high m cap crosses rs 4 lakh crore ril markets industries hits over 8 year high m cap crosses rs 4 lakh crore markets shares continue to rise on reliancejio plans ,,,,,,,,3.0,0.0,0.0,0.942,0.058,0.296, reliance industries hits over 8 year high m cap crosses rs 4 lakh crore ril markets industries hits over 8 year high m cap crosses rs 4 lakh crore markets shares continue to rise on reliancejio plans
39,2017-02-28,RELIANCE,EQ,1238.9,1232.0,1248.0,1228.5,1237.65,1238.05,1240.68,8254531,RELIANCE INDUSTRIES: The company's subsidiary Reliance Jio Infocomm has awarded a contract to the US-based AirWire Technologies to offer the latter's India manufactured connected car device to customers in India.,,reliance industries the company s subsidiary reliance jio infocomm has awarded a contract to the us based airwire technologies to offer the latter s india manufactured connected car device to customers in india.,,11.0,0.0,0.0,0.922,0.078,0.4019,reliance industries the company s subsidiary reliance jio infocomm has awarded a contract to the us based airwire technologies to offer the latter s india manufactured connected car device to customers in india.,,,,,,,
40,2017-03-01,RELIANCE,EQ,1238.05,1240.1,1244.4,1230.0,1231.55,1234.5,1238.28,5574153,"D-Link (India) Ltd unit TeamF1 Networks Private Limited  and Reliance Jio Announce Partnership to Launch Fixed Line Digital Services,Reliance Jio partners with Samsung to improve LTE (4G) services ",,d link india ltd unit teamf1 networks private limited and reliance jio announce partnership to launch fixed line digital services reliance jio partners with samsung to improve lte 4g services ,,12.0,0.0,0.058,0.854,0.088,0.25,d link india ltd unit teamf1 networks private limited and reliance jio announce partnership to launch fixed line digital services reliance jio partners with samsung to improve lte 4g services,,,,,,,
41,2017-03-02,RELIANCE,EQ,1234.5,1237.9,1254.7,1227.05,1234.95,1236.75,1241.01,4129033,,"#Reliance Industries’ promoter entities to rejig shareholding in firm
https://t.co/HXZq8K2ABc",, reliance industries promoter entities to rejig shareholding in firm ,,,,,,,,4.0,0.0,0.0,1.0,0.0,0.0, reliance industries promoter entities to rejig shareholding in firm
42,2017-03-03,RELIANCE,EQ,1236.75,1241.55,1287.8,1241.55,1258.6,1258.55,1269.09,19270851,"RELIANCE INDUSTRIES: Eight promoter group companies of RIL will acquire around 1.19 bln shares, or 36.70% stake, from 15 other promoter group companies in an inter se transfer for 1.3 trln rupees.",,reliance industries eight promoter group companies of ril will acquire around 1.19 bln shares or 36.70 stake from 15 other promoter group companies in an inter se transfer for 1.3 trln rupees.,,13.0,0.0,0.0,0.934,0.066,0.296,reliance industries eight promoter group companies of ril will acquire around 1.19 bln shares or 36.70 stake from 15 other promoter group companies in an inter se transfer for 1.3 trln rupees.,,,,,,,
43,2017-03-06,RELIANCE,EQ,1258.55,1269.0,1312.0,1265.25,1308.0,1305.35,1298.39,15252154,RELIANCE INDUSTRIES: Subsidiary Reliance Jio Infocomm will use a solution developed by Ericsson for faster onboarding and quality service for customers.,,reliance industries subsidiary reliance jio infocomm will use a solution developed by ericsson for faster onboarding and quality service for customers.,,14.0,0.0,0.0,0.897,0.103,0.3182,reliance industries subsidiary reliance jio infocomm will use a solution developed by ericsson for faster onboarding and quality service for customers.,,,,,,,
44,2017-03-07,RELIANCE,EQ,1305.35,1318.85,1327.0,1296.15,1306.35,1304.95,1309.21,9616850,,,,,,,,,,,,,,,,,,
45,2017-03-08,RELIANCE,EQ,1304.95,1307.7,1307.7,1286.1,1288.15,1291.2,1294.73,9906103,,,,,,,,,,,,,,,,,,
46,2017-03-09,RELIANCE,EQ,1291.2,1290.0,1298.0,1281.5,1285.4,1286.75,1287.46,7107670,,,,,,,,,,,,,,,,,,
47,2017-03-10,RELIANCE,EQ,1286.75,1290.25,1296.0,1261.2,1279.1,1281.65,1282.25,5665568,,,,,,,,,,,,,,,,,,
48,2017-03-14,RELIANCE,EQ,1281.65,1318.75,1319.0,1285.25,1288.25,1289.5,1299.08,6346620,,,,,,,,,,,,,,,,,,
49,2017-03-15,RELIANCE,EQ,1289.5,1291.05,1316.3,1290.4,1302.0,1304.95,1306.9,5510658,,,,,,,,,,,,,,,,,,
50,2017-03-16,RELIANCE,EQ,1304.95,1310.0,1310.4,1293.6,1296.8,1297.65,1300.24,3639964,,,,,,,,,,,,,,,,,,
51,2017-03-17,RELIANCE,EQ,1297.65,1308.0,1319.95,1298.05,1300.55,1300.7,1302.8,5195076,,,,,,,,,,,,,,,,,,
52,2017-03-20,RELIANCE,EQ,1300.7,1306.0,1306.25,1278.35,1280.95,1280.8,1287.84,2941714,,"In expansion mode, #Reliance #Retail may spend Rs 2,500 crore https://t.co/tZVBsZovi7 #RIL https://t.co/MxRQPpBzvC",,in expansion mode reliance retail may spend rs 2 500 crore ril ,,,,,,,,5.0,0.0,0.0,1.0,0.0,0.0,in expansion mode reliance retail may spend rs 2 500 crore ril
53,2017-03-21,RELIANCE,EQ,1280.8,1282.2,1283.9,1259.3,1265.2,1263.8,1270.21,5165107,"BHARTI AIRTEL: RELIANCE INDUSTRIES' telecom subsidiary Reliance Jio Infocomm has complained to the Advertising Standards Council of India that the company's claim of being India's fastest network is false, misleading and incorrect.",,bharti airtel reliance industries telecom subsidiary reliance jio infocomm has complained to the advertising standards council of india that the company s claim of being india s fastest network is false misleading and incorrect.,,15.0,0.0,0.144,0.856,0.0,-0.6597,bharti airtel reliance industries telecom subsidiary reliance jio infocomm has complained to the advertising standards council of india that the company s claim of being india s fastest network is false misleading and incorrect.,,,,,,,
54,2017-03-22,RELIANCE,EQ,1263.8,1252.0,1265.9,1246.55,1260.45,1259.7,1257.09,4638338,,,,,,,,,,,,,,,,,,
55,2017-03-23,RELIANCE,EQ,1259.7,1263.15,1277.55,1258.0,1272.0,1273.3,1269.4,2699090,,"#CCI okays sale of #Reliance #Infra tower unit to #Brookfield
https://t.co/ORzc7rZZac",, cci okays sale of reliance infra tower unit to brookfield ,,,,,,,,6.0,0.0,0.0,0.744,0.256,0.4767, cci okays sale of reliance infra tower unit to brookfield
56,2017-03-24,RELIANCE,EQ,1273.3,1274.1,1292.0,1268.45,1284.0,1286.75,1282.43,3721911,,Insider trading case: #SEBI bars #Reliance from equity derivative trades in F&amp;O for 1 year https://t.co/ym82h0qBO3,,insider trading case sebi bars reliance from equity derivative trades in f amp o for 1 year ,,,,,,,,7.0,0.0,0.0,1.0,0.0,0.0,insider trading case sebi bars reliance from equity derivative trades in f amp o for 1 year
57,2017-03-27,RELIANCE,EQ,1286.75,1271.1,1278.75,1247.2,1248.5,1251.1,1258.23,7418122,"RIL, ONGC: Arbitration on compensation RIL-ONGC row starts,SEBI banned Reliance Industries and 12 others from equity derivatives trading for one year",,ril ongc arbitration on compensation ril ongc row starts sebi banned reliance industries and 12 others from equity derivatives trading for one year,,16.0,0.0,0.12,0.88,0.0,-0.4588,ril ongc arbitration on compensation ril ongc row starts sebi banned reliance industries and 12 others from equity derivatives trading for one year,,,,,,,
58,2017-03-28,RELIANCE,EQ,1251.1,1258.0,1264.0,1242.1,1246.3,1245.75,1249.71,4961934,,,,,,,,,,,,,,,,,,
59,2017-03-29,RELIANCE,EQ,1245.75,1251.7,1260.0,1233.35,1259.2,1256.65,1246.51,4325787,,#Reliance completes sale of 76% interest in Gulf Africa Petroleum Corporation https://t.co/iGelaAckwa,, reliance completes sale of 76 interest in gulf africa petroleum corporation ,,,,,,,,8.0,0.0,0.0,0.769,0.231,0.4588, reliance completes sale of 76 interest in gulf africa petroleum corporation
60,2017-03-30,RELIANCE,EQ,1256.65,1255.0,1274.75,1253.0,1267.6,1270.65,1267.91,6368859,Reliance Industries completed sale of entire 76% stake in Gulf Africa Petroleum Corporation to Total,,reliance industries completed sale of entire 76 stake in gulf africa petroleum corporation to total,,17.0,0.0,0.0,1.0,0.0,0.0,reliance industries completed sale of entire 76 stake in gulf africa petroleum corporation to total,,,,,,,
61,2017-03-31,RELIANCE,EQ,1270.65,1266.0,1337.65,1266.0,1320.6,1320.9,1311.06,10375519,"BPCL, ONGC pip Reliance In overseas fundraising","Must Read: Full text of Mukesh Ambani's statement to #Reliance #Jio customers https://t.co/WV7F6zOO7t #JioPrime #Primemembership,#BPCL, #ONGC pip #Reliance in overseas fundraising https://t.co/kOnuEqiE3G https://t.co/pv6gdT1YQX,. @reliancejio Will Release Number Of Prime Members; #Reliance Industries Surges In Trade, Up Over 4% https://t.co/hnneYyITVM",bpcl ongc pip reliance in overseas fundraising,must read full text of mukesh ambani s statement to reliance jio customers jioprime primemembership bpcl ongc pip reliance in overseas fundraising reliancejio will release number of prime members reliance industries surges in trade up over 4 ,18.0,0.0,0.0,1.0,0.0,0.0,bpcl ongc pip reliance in overseas fundraising,9.0,0.0,0.0,0.965,0.035,0.0772,must read full text of mukesh ambani s statement to reliance jio customers jioprime primemembership bpcl ongc pip reliance in overseas fundraising reliancejio will release number of prime members reliance industries surges in trade up over 4
62,2017-04-03,RELIANCE,EQ,1320.9,1342.0,1380.5,1337.05,1373.25,1374.65,1365.85,10260327,RELIANCE INDUSTRIES: Subsidiary Reliance Jio Infocomm has extended its Prime membership scheme till Apr 15.,,reliance industries subsidiary reliance jio infocomm has extended its prime membership scheme till apr 15.,,19.0,0.0,0.0,1.0,0.0,0.0,reliance industries subsidiary reliance jio infocomm has extended its prime membership scheme till apr 15.,,,,,,,
63,2017-04-05,RELIANCE,EQ,1374.65,1395.2,1418.0,1380.1,1415.05,1415.0,1400.66,9217360,RELIANCE INDUSTRIES: Has received environment clearance for expansion and de-bottlenecking of its Dahej petrochemical facility in Gujarat at a cost of 132.50 bln rupees.,"#Reliance Surges Past Rs 1,400/Sh For The 1st Time Since 2008",reliance industries has received environment clearance for expansion and de bottlenecking of its dahej petrochemical facility in gujarat at a cost of 132.50 bln rupees., reliance surges past rs 1 400 sh for the 1st time since 2008,20.0,0.0,0.0,1.0,0.0,0.0,reliance industries has received environment clearance for expansion and de bottlenecking of its dahej petrochemical facility in gujarat at a cost of 132.50 bln rupees.,10.0,0.0,0.0,1.0,0.0,0.0, reliance surges past rs 1 400 sh for the 1st time since 2008
64,2017-04-06,RELIANCE,EQ,1415.0,1409.0,1448.9,1402.2,1434.0,1438.5,1429.25,11571075,,,,,,,,,,,,,,,,,,
65,2017-04-07,RELIANCE,EQ,1438.5,1421.3,1434.0,1402.55,1405.25,1406.6,1419.57,7286151,"Telecom regulator Trai ordered Mukesh Ambani-led Reliance Jio to withdraw the three-month 
‘complimentary’ offer of unlimited data usage and free calls on payment of a minimum Rs 303",,telecom regulator trai ordered mukesh ambani led reliance jio to withdraw the three month complimentary offer of unlimited data usage and free calls on payment of a minimum rs 303,,21.0,0.0,0.0,0.819,0.181,0.7351,telecom regulator trai ordered mukesh ambani led reliance jio to withdraw the three month complimentary offer of unlimited data usage and free calls on payment of a minimum rs 303,,,,,,,
66,2017-04-10,RELIANCE,EQ,1406.6,1410.0,1424.9,1377.3,1384.75,1381.35,1396.97,7033141,"BHARTI AIRTEL: The company has accused Reliance Jio Infocomm of violating the Telecom Regulatory Authority of India's order stopping the new entrant's Summer Surprise offer and called on the watchdog to take ""suitable action"".",,bharti airtel the company has accused reliance jio infocomm of violating the telecom regulatory authority of india s order stopping the new entrant s summer surprise offer and called on the watchdog to take suitable action .,,22.0,0.0,0.171,0.749,0.08,-0.5994,bharti airtel the company has accused reliance jio infocomm of violating the telecom regulatory authority of india s order stopping the new entrant s summer surprise offer and called on the watchdog to take suitable action .,,,,,,,
67,2017-04-11,RELIANCE,EQ,1381.35,1387.85,1400.45,1370.1,1375.7,1372.35,1382.9,7371727,,,,,,,,,,,,,,,,,,
68,2017-04-12,RELIANCE,EQ,1372.35,1382.8,1386.45,1351.15,1355.0,1354.0,1363.72,6274215,RELIANCE INDUSTRIES: Arm Reliance Jio Infocomm has announced a new one-time 'Jio Dhan Dhana Dhan' offer for subscribers who could not avail its 'Summer Surprise' offer.,,reliance industries arm reliance jio infocomm has announced a new one time jio dhan dhana dhan offer for subscribers who could not avail its summer surprise offer.,,23.0,0.0,0.0,0.925,0.075,0.2732,reliance industries arm reliance jio infocomm has announced a new one time jio dhan dhana dhan offer for subscribers who could not avail its summer surprise offer.,,,,,,,
69,2017-04-13,RELIANCE,EQ,1354.0,1354.0,1373.4,1347.35,1365.8,1364.8,1365.73,2906188,"RELIANCE INDUSTRIES: Has begun commercial production of coal bed methane gas from two blocks in Madhya Pradesh.,RIL begins commercial production of CBM gas",,reliance industries has begun commercial production of coal bed methane gas from two blocks in madhya pradesh. ril begins commercial production of cbm gas,,24.0,1.0,0.106,1.8940000000000001,0.0,-0.2263,reliance industries has begun commercial production of coal bed methane gas from two blocks in madhya pradesh.ril begins commercial production of cbm gas,,,,,,,
70,2017-04-17,RELIANCE,EQ,1364.8,1365.0,1395.55,1365.0,1391.45,1391.85,1380.35,2705854,,,,,,,,,,,,,,,,,,
71,2017-04-18,RELIANCE,EQ,1391.85,1399.95,1410.0,1367.0,1369.0,1370.2,1393.47,3661083,"RELIANCE INDUSTRIES: Over 72 mln subscribers of arm Reliance Jio Infocomm can avail of a 15% discount on domestic and international travels on Air Asia, from Jun 20-Sep 30.","#Reliance topples #TCS to become most valuable company by market-cap https://t.co/IKgJ07HYzU
#RIL https://t.co/Bzzh4FHIRi",reliance industries over 72 mln subscribers of arm reliance jio infocomm can avail of a 15 discount on domestic and international travels on air asia from jun 20 sep 30., reliance topples tcs to become most valuable company by market cap ril ,25.0,0.0,0.0,1.0,0.0,0.0,reliance industries over 72 mln subscribers of arm reliance jio infocomm can avail of a 15 discount on domestic and international travels on air asia from jun 20 sep 30.,11.0,0.0,0.0,0.764,0.236,0.5256, reliance topples tcs to become most valuable company by market cap ril
72,2017-04-19,RELIANCE,EQ,1370.2,1369.0,1382.55,1357.55,1369.95,1368.8,1368.72,2645292,RELIANCE INDUSTRIES: Telecom arm Reliance Jio Infocomm cut international long distance call or ISD rates by more than 90% for some countries. ,,reliance industries telecom arm reliance jio infocomm cut international long distance call or isd rates by more than 90 for some countries. ,,26.0,0.0,0.091,0.909,0.0,-0.2732,reliance industries telecom arm reliance jio infocomm cut international long distance call or isd rates by more than 90 for some countries.,,,,,,,
73,2017-04-20,RELIANCE,EQ,1368.8,1379.0,1386.8,1364.1,1370.45,1369.55,1371.78,1918612,Reliance Industries commissions Ethane Project at Dahej ,,reliance industries commissions ethane project at dahej ,,27.0,0.0,0.0,1.0,0.0,0.0,reliance industries commissions ethane project at dahej,,,,,,,
